auction_id,project_auction_start,project_auction_end,project_auction_online,project_accountmanager,project_businessline,project_businessunit,main_category,is_homedelivery,is_public,is_automatic_credit
45056,2020-02-01T16:00:00,2020-02-07T18:30:00,2020-01-31T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,Fietsen,0,0,0
45058,2020-02-22T08:00:00,2020-02-28T18:30:00,2020-02-21T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,NULL,0,0,0
45067,2020-02-06T16:00:00,2020-02-12T18:01:00,2020-01-31T00:00:00,104,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
45072,2019-12-30T16:00:00,2020-01-08T18:00:00,2019-12-27T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
45073,2019-12-30T16:00:00,2020-01-09T17:00:00,2019-12-27T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
45076,2019-12-30T16:00:00,2020-01-09T18:01:00,2019-12-27T00:00:00,103,001. Seller location,Consumer & Small Business,Houtindustrie,0,0,0
45077,2020-01-13T16:00:00,2020-01-20T18:01:00,2020-01-10T00:00:00,102,001. Seller location,Consumer & Small Business,NULL,0,1,0
45087,2020-01-15T23:00:00,2020-01-23T19:01:00,2020-01-10T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,0,0
45092,2020-01-14T16:00:00,2020-01-27T17:30:00,2020-01-10T00:00:00,103,001. Seller location,Consumer & Small Business,NULL,0,1,0
45097,2020-01-07T16:00:00,2020-01-12T19:01:00,2020-01-06T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentenelektronica,1,0,0
45114,2020-01-09T16:00:00,2020-01-13T19:01:00,2020-01-08T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,1
45117,2020-01-11T16:00:00,2020-01-16T19:01:00,2020-01-10T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,1
45144,2020-01-24T16:00:00,2020-02-10T17:01:00,2020-01-22T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
45173,2020-01-21T11:00:00,2020-01-28T19:31:00,2020-01-21T00:00:00,100,001. Art Recurrent,Art & Antiques,Kunst,1,1,0
45178,2020-01-12T22:00:00,2020-01-13T20:00:00,2020-01-10T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45202,2019-12-30T16:00:00,2020-01-08T15:00:00,2019-12-30T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
45203,2020-01-10T16:01:00,2020-01-20T15:01:00,2020-01-10T00:00:00,102,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
45213,2020-01-31T16:00:00,2020-02-08T18:01:00,2020-01-30T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
45215,2019-12-30T11:00:00,2020-01-07T10:02:00,2019-12-24T00:00:00,100,001. Art Recurrent,Art & Antiques,Kunst,0,1,0
45219,2020-01-11T11:00:00,2020-01-18T18:31:00,2019-12-24T00:00:00,100,001. Art Recurrent,Art & Antiques,Kunst,1,1,0
45221,2020-02-07T23:00:00,2020-02-14T22:59:00,2020-02-07T00:00:00,101,001. Recommerce - Pick up,Consumer & Small Business,Consumentengoederen,0,0,0
45223,2020-01-25T16:00:00,2020-01-31T18:01:00,2020-01-24T00:00:00,101,001. Recommerce - Pick up,Consumer & Small Business,Consumentengoederen,0,0,0
45232,2020-01-18T16:01:00,2020-01-27T17:30:00,2020-01-17T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,NULL,0,0,0
45236,2020-02-06T16:00:00,2020-02-13T17:32:00,2020-01-31T00:00:00,106,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
45244,2020-01-06T16:00:00,2020-01-14T18:30:00,2020-01-02T00:00:00,110,006.Automotive,Automotive,NULL,0,1,0
45258,2020-01-19T13:00:00,2020-01-20T10:00:00,2020-01-17T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45263,2020-01-24T17:00:00,2020-01-25T09:00:00,2020-01-17T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45296,2020-01-08T16:00:00,2020-01-15T18:01:00,2020-01-06T00:00:00,103,001. Seller location,Consumer & Small Business,Houtindustrie,0,0,0
45307,2020-01-30T22:00:00,2020-01-31T20:00:00,2020-01-24T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45311,2020-01-29T13:00:00,2020-01-30T10:00:00,2020-01-24T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45315,2020-02-01T17:00:00,2020-02-02T09:00:00,2020-01-24T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45319,2020-01-22T16:00:00,2020-01-29T18:01:00,2020-01-21T00:00:00,106,001. Recommerce - Pick up,Consumer & Small Business,Consumentenelektronica,0,0,0
45321,2020-01-10T08:00:00,2020-01-20T19:01:00,2020-01-08T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
45324,2020-02-05T16:00:00,2020-02-12T15:01:00,2020-01-28T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
45333,2020-02-04T16:00:00,2020-02-08T15:01:00,2020-02-03T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
45338,2020-01-28T16:00:00,2020-02-01T15:01:00,2020-01-27T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
45351,2020-02-01T16:00:00,2020-02-09T17:01:00,2020-01-30T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
45361,2020-01-07T23:00:00,2020-01-16T11:02:00,2020-01-07T00:00:00,100,001. Art Combi One-Off,Art & Antiques,Kunst,1,1,1
45377,2020-01-28T11:00:00,2020-02-04T11:01:00,2020-01-28T00:00:00,100,001. Art Combi One-Off,Art & Antiques,Kunst,1,1,0
45395,2020-01-31T11:00:00,2020-02-07T19:01:00,2020-01-24T00:00:00,100,001. Art Recurrent,Art & Antiques,Kunst,1,1,0
45400,2020-02-10T16:00:00,2020-02-18T18:01:00,2020-02-07T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,0,0
45407,2020-01-20T16:00:00,2020-01-30T18:01:00,2020-01-17T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,0,0
45424,2020-01-17T10:00:00,2020-01-20T17:30:00,2020-01-16T00:00:00,103,001. Domeinen - Auction centre,Consumer & Small Business,NULL,0,1,0
45442,2020-01-10T16:00:00,2020-01-15T14:00:00,2020-01-10T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
45461,2020-01-14T11:00:00,2020-01-21T15:00:00,2020-01-13T00:00:00,109,001. Domeinen - Seller location,Consumer & Small Business,NULL,0,1,0
45463,2020-02-03T22:00:00,2020-02-04T20:00:00,2020-01-31T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45467,2020-02-02T13:00:00,2020-02-03T10:00:00,2020-01-31T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45480,2020-02-19T16:00:00,2020-02-25T19:00:00,2020-02-14T00:00:00,106,001. Seller location,Consumer & Small Business,Woninginrichting,0,0,0
45483,2020-02-01T16:01:00,2020-02-08T16:01:00,2020-01-31T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
45486,2020-01-18T16:00:00,2020-01-30T17:01:00,2020-01-16T00:00:00,103,001. Seller location,Consumer & Small Business,NULL,0,1,0
45488,2020-01-14T11:00:00,2020-01-20T18:00:00,2020-01-14T00:00:00,109,001. Domeinen - Seller location,Consumer & Small Business,NULL,0,1,0
45496,2020-01-21T16:00:00,2020-01-29T17:01:00,2020-01-20T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
45551,2020-01-27T16:00:00,2020-02-03T17:01:00,2020-01-24T00:00:00,103,001. Domeinen - Auction centre,Consumer & Small Business,NULL,0,1,0
45556,2020-01-23T11:00:00,2020-01-30T19:01:00,2020-01-22T00:00:00,100,001. Art Combi One-Off,Art & Antiques,Kunst,1,1,0
45570,2020-01-25T16:00:00,2020-02-06T18:31:00,2020-01-24T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,NULL,0,0,0
45578,2020-01-25T16:01:00,2020-02-01T16:01:00,2020-01-24T00:00:00,102,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
45609,2020-01-29T16:01:00,2020-02-03T18:01:00,2020-01-27T00:00:00,103,001. Seller location,Consumer & Small Business,Houtindustrie,0,0,0
45616,2020-02-18T11:00:00,2020-02-25T19:02:00,2020-02-17T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45648,2020-01-21T16:00:00,2020-01-28T18:30:00,2020-01-21T00:00:00,110,006.Automotive,Automotive,NULL,0,1,0
45649,2020-02-11T11:00:00,2020-02-19T18:01:00,2020-02-11T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45659,2020-02-11T22:00:00,2020-02-12T20:01:00,2020-02-06T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45666,2020-02-14T17:00:00,2020-02-15T09:00:00,2020-02-06T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
45727,2020-01-30T16:00:00,2020-02-06T15:00:00,2020-01-29T00:00:00,111,001.Insolvency - Pick-up,Consumer & Small Business,Kantoor,0,0,0
45742,2020-02-03T16:01:00,2020-02-11T18:30:00,2020-01-29T00:00:00,110,006.Automotive,Automotive,NULL,0,1,0
45743,2020-02-03T16:01:00,2020-02-11T19:01:00,2020-01-31T00:00:00,110,006.Automotive,Automotive,NULL,0,1,0
45746,2020-02-07T16:00:00,2020-02-16T19:01:00,2020-02-03T00:00:00,106,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
45801,2020-02-14T16:01:00,2020-02-18T19:01:00,2020-02-12T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,1
45806,2020-02-21T16:01:00,2020-02-25T19:01:00,2020-02-19T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,1
45840,2020-02-06T16:00:00,2020-02-12T18:01:00,2020-02-05T00:00:00,101,001. Seller location,Consumer & Small Business,Woninginrichting,0,1,0
45850,2020-02-15T08:00:00,2020-02-25T18:01:00,2020-02-14T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Woninginrichting,1,0,0
45868,2020-02-21T08:00:00,2020-02-28T17:01:00,2020-02-20T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,0,0
45878,2020-02-14T08:00:00,2020-02-21T13:01:00,2020-02-13T00:00:00,109,001. BU 5 Art & Antiques (Amersfoort),Art & Antiques,NULL,1,1,0
45904,2020-02-10T11:00:00,2020-02-17T13:01:00,2020-02-07T00:00:00,100,001. Art Recurrent,Art & Antiques,Kunst,1,1,0
45924,2020-02-04T16:00:00,2020-02-17T15:00:00,2020-02-04T00:00:00,109,001. Auction Centre - Delivery,Consumer & Small Business,NULL,1,0,0
45926,2020-02-04T11:00:00,2020-02-11T18:01:00,2020-02-03T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45935,2020-02-17T11:00:00,2020-02-24T11:02:00,2020-02-14T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45952,2020-02-10T16:00:00,2020-02-27T17:01:00,2020-02-07T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
45977,2020-02-10T11:00:00,2020-02-16T18:02:00,2020-02-07T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45978,2020-02-17T11:00:00,2020-02-23T18:02:00,2020-02-14T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
45991,2020-02-17T16:00:00,2020-02-28T17:01:00,2020-02-14T00:00:00,106,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
46000,2020-02-23T22:00:00,2020-02-24T20:00:00,2020-02-20T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
46007,2020-02-25T13:00:00,2020-02-26T10:00:00,2020-02-20T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
46016,2020-02-10T16:01:00,2020-02-19T17:01:00,2020-02-07T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
46017,2020-02-10T16:00:00,2020-02-24T13:00:00,2020-02-07T00:00:00,109,001. Seller location,Consumer & Small Business,NULL,0,1,0
46036,2020-02-11T14:01:00,2020-02-19T18:30:00,2020-02-06T00:00:00,110,006.Automotive,Automotive,NULL,0,1,0
46066,2020-02-12T16:00:00,2020-02-19T18:01:00,2020-02-11T00:00:00,109,001. Seller location,Consumer & Small Business,NULL,0,0,0
46120,2020-02-13T16:00:00,2020-02-24T15:01:00,2020-02-13T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
46126,2020-02-10T16:00:00,2020-02-19T15:01:00,2020-02-07T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
46157,2020-02-15T08:00:00,2020-02-27T17:01:00,2020-02-14T00:00:00,109,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,1,0
46195,2020-02-17T16:00:00,2020-02-26T15:00:00,2020-02-14T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
37596,2019-12-26T11:00:00,2020-01-02T11:02:00,2019-12-24T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
39647,2019-12-19T23:00:00,2020-01-02T22:59:00,2019-12-18T00:00:00,103,001. Auction Centre - Delivery,Consumer & Small Business,NULL,1,1,0
42863,2019-12-20T16:00:00,2020-01-03T18:01:00,2019-12-18T00:00:00,106,001. Seller location,Consumer & Small Business,NULL,0,0,0
42504,2019-12-19T23:00:00,2020-01-09T22:59:00,2019-12-18T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
42654,2019-12-27T23:00:00,2020-01-20T22:59:00,2019-12-27T00:00:00,104,001. Seller location,Consumer & Small Business,NULL,0,0,0
43274,2019-12-28T16:00:00,2020-01-05T15:00:00,2019-12-27T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
37599,2020-01-17T11:00:00,2020-01-23T18:02:00,2020-01-15T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
43222,2020-01-11T16:00:00,2020-01-19T15:01:00,2020-01-10T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44023,2019-12-25T16:00:00,2020-01-02T15:01:00,2019-12-20T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44439,2020-01-07T16:00:00,2020-01-21T17:01:00,2020-01-06T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
44562,2020-01-08T16:00:00,2020-01-16T15:04:00,2020-01-03T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44575,2020-01-07T16:00:00,2020-01-14T19:01:00,2020-01-06T00:00:00,106,001. Seller location,Consumer & Small Business,NULL,0,0,0
44581,2020-01-12T23:00:00,2020-01-27T22:59:00,2020-01-10T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
44689,2019-12-24T16:00:00,2020-01-02T19:01:00,2019-12-18T00:00:00,106,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
44704,2019-12-23T16:00:00,2020-01-02T18:02:00,2019-12-20T00:00:00,103,001. Seller location,Consumer & Small Business,NULL,0,0,0
44729,2019-12-09T16:00:00,2020-01-06T17:01:00,2019-12-06T00:00:00,109,001. Seller location,Consumer & Small Business,NULL,0,1,0
44736,2020-02-16T16:01:00,2020-02-22T18:02:00,2020-02-14T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,Gereedschap,1,0,0
44794,2020-01-05T16:00:00,2020-01-11T18:02:00,2020-01-03T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,Consumentengoederen,1,0,0
44826,2020-01-20T23:00:00,2020-02-05T22:59:00,2020-01-20T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,Consumentengoederen,0,0,0
44876,2019-12-31T13:00:00,2020-01-01T10:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44881,2020-01-04T17:00:00,2020-01-05T09:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44887,2020-02-01T08:00:00,2020-02-10T19:01:00,2019-01-31T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
44891,2020-02-09T23:00:00,2020-02-24T22:59:00,2020-02-07T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
44896,2019-12-23T16:00:00,2020-01-09T18:01:00,2019-12-20T00:00:00,NULL,001. Seller location,Consumer & Small Business,NULL,0,1,0
44900,2019-12-20T16:00:00,2020-01-08T17:01:00,2019-12-18T00:00:00,105,001. Seller location,Consumer & Small Business,Kleding en schoenen,0,1,0
44901,2019-12-22T16:00:00,2020-01-06T18:01:00,2019-12-18T00:00:00,109,001. Seller location,Consumer & Small Business,NULL,0,1,0
43855,2020-01-02T16:00:00,2020-01-09T18:00:00,2019-11-08T00:00:00,104,001. Schipveilingen,Consumer & Small Business,NULL,0,1,0
43173,2019-12-18T11:00:00,2020-01-04T12:02:00,2019-12-17T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
44152,2019-12-30T23:00:00,2020-01-05T15:01:00,2019-12-30T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44166,2020-01-07T16:00:00,2020-01-11T16:00:00,2020-01-06T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44183,2019-12-31T16:00:00,2020-01-04T15:01:00,2019-12-30T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44192,2020-01-14T16:00:00,2020-01-21T15:01:00,2020-01-10T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44367,2019-12-24T16:00:00,2020-01-02T18:01:00,2019-12-23T00:00:00,103,001. Seller location,Consumer & Small Business,NULL,0,0,0
44416,2020-01-02T16:00:00,2020-01-09T19:01:00,2020-01-01T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Woninginrichting,1,0,0
44468,2020-01-10T11:00:00,2020-01-19T18:01:00,2020-01-08T00:00:00,109,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
44641,2020-01-04T16:01:00,2020-01-12T17:01:00,2020-01-03T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44699,2019-12-18T16:00:00,2020-01-03T17:01:00,2019-12-16T00:00:00,102,001. Seller location,Consumer & Small Business,NULL,0,0,0
44705,2019-12-23T16:00:00,2020-01-06T18:02:00,2019-12-20T00:00:00,103,001. Seller location,Consumer & Small Business,NULL,0,0,0
44735,2020-01-26T16:01:00,2020-02-01T18:02:00,2020-01-24T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,Gereedschap,1,0,0
44764,2019-12-26T11:00:00,2020-01-02T19:01:00,2019-12-24T00:00:00,100,001. Art Recurrent,Art & Antiques,NULL,1,1,0
44770,2019-12-31T11:00:00,2020-01-07T18:02:00,2019-12-31T00:00:00,100,001. Art Recurrent,Art & Antiques,NULL,1,1,0
44771,2020-01-01T11:00:00,2020-01-08T19:01:00,2019-12-31T00:00:00,100,001. Art Recurrent,Art & Antiques,NULL,1,1,0
44831,2019-12-23T16:00:00,2020-01-07T17:01:00,2019-12-20T00:00:00,NULL,001. Seller location,Consumer & Small Business,NULL,0,0,0
44841,2019-12-23T16:00:00,2020-01-08T19:01:00,2019-12-20T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
44882,2020-01-04T22:00:00,2020-01-05T17:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,0
44899,2019-12-20T16:00:00,2020-01-06T17:01:00,2019-12-18T00:00:00,105,001. Seller location,Consumer & Small Business,Kleding en schoenen,0,1,0
44955,2020-01-23T16:00:00,2020-01-30T17:01:00,2020-01-20T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44986,2020-01-10T22:00:00,2020-01-11T17:00:00,2020-01-03T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
41567,2019-12-29T16:00:00,2020-01-04T18:02:00,2019-12-27T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,Gereedschap,1,0,0
41752,2019-12-24T16:00:00,2020-01-01T18:02:00,2019-12-20T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
43386,2020-01-20T16:00:00,2020-01-27T15:01:00,2020-01-17T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
43852,2020-01-24T16:00:00,2020-01-30T18:00:00,2019-12-10T00:00:00,104,001. Schipveilingen,Consumer & Small Business,NULL,0,1,0
43859,2020-01-21T16:00:00,2020-01-28T18:00:00,2019-12-06T00:00:00,104,001. Schipveilingen,Consumer & Small Business,NULL,0,1,0
44153,2020-01-06T23:00:00,2020-01-12T15:01:00,2020-01-06T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44175,2019-12-31T16:00:00,2020-01-03T16:00:00,2019-12-30T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44184,2020-01-07T16:00:00,2020-01-11T15:01:00,2020-01-06T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44315,2020-01-01T16:00:00,2020-01-05T19:01:00,2019-12-31T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,1
44576,2019-12-12T16:00:00,2020-01-07T19:30:00,2019-12-05T00:00:00,110,006.Automotive,Automotive,Auto's,0,1,0
